Date,hashrate
1453420800000,929754.013123
1453334400000,755072.956112406
1453248000000,822691.429794
1453161600000,839596.048215
1453075200000,986102.741191575
1452988800000,783247.320146
1452902400000,783247.320146
1452816000000,693089.355237507
1452729600000,743803.210499
1452643200000,862135.539442
1452556800000,908849.876203127
1452470400000,877866.357696
1452384000000,877866.357696
1452297600000,821063.240433507
1452211200000,903685.956452
1452124800000,743604.444166
1452038400000,702293.086156962
1451952000000,841718.919438
1451865600000,903685.956452
1451779200000,769424.042921966
1451692800000,707457.005908
1451606400000,697129.166406
1451520000000,743604.444166195
1451433600000,803647.041574
1451347200000,706094.510516
1451260800000,747902.738112336
1451174400000,905844.931254
1451088000000,864036.703658
1451001600000,622478.055323311
1450915200000,692158.434651
1450828800000,766484.1726
1450742400000,654995.565676021
1450656000000,715385.22776
1450569600000,785065.607087
1450483200000,720030.586381441
1450396800000,629152.109263
1450310400000,625219.90858
1450224000000,660609.714726511
1450137600000,758914.731799
1450051200000,692067.32019
1449964800000,585897.901751489
1449878400000,656677.514044
1449792000000,688135.119507
1449705600000,770711.333847596
1449619200000,695999.520873
1449532800000,625219.90858
1449446400000,593762.303117281
1449360000000,621791.873841
1449273600000,621791.873841
1449187200000,527800.078957785
1449100800000,520569.94089
1449014400000,531415.147992
1448928000000,694093.254519827
1448841600000,542260.355094
1448755200000,567565.838331
1448668800000,527800.078957785
1448582400000,538645.28606
1448496000000,585641.183501
1448409600000,556720.631229444
1448323200000,549490.493162
1448236800000,523733.52314
1448150400000,569560.206414519
1448064000000,582653.544493
1447977600000,520460.18862
1447891200000,458266.832747314
1447804800000,458266.832747
1447718400000,527006.857659
1447632000000,576106.875453766
1447545600000,474633.505345
1447459200000,497546.846983
1447372800000,546646.864777153
1447286400000,477906.839865
1447200000000,579380.209973
1447113600000,442536.702192705
1447027200000,454915.351205
1446940800000,433252.715433
1446854400000,504429.947254622
1446768000000,423968.728674
1446681600000,461104.675711
1446595200000,479672.649229855
1446508800000,488956.635989
1446422400000,448726.026699
1446336000000,492051.298242239
1446249600000,470388.662471
1446163200000,507524.609508
1446076800000,458010.013458184
1445990400000,411610.987775
1445904000000,478195.11815
1445817600000,460035.809866248
1445731200000,469115.464008
1445644800000,420690.641917
1445558400000,466088.912627646
1445472000000,475168.56677
1445385600000,438849.950201
1445299200000,384372.025348773
1445212800000,502407.529196
1445126400000,432796.84744
1445040000000,396478.230871569
1444953600000,396478.230872
