Open Time,Open,High,Low,Close,Volumn,Close Time,Quote Asset Volumn,Number of Trades,Taker Buy Base Asset Volumn,Taker Buy Quote Asset Volumn,Ignore,Date Time
1602720000000,11417.89,11617.34,11250.83,11505.12,48760.717679,1602806399999,556436445.5576282,662386,24019.237669,274171016.90668136,0.0,2020-10-15 00:00:00+00:00
1602806400000,11505.13,11541.15,11200.0,11319.32,48797.749502,1602892799999,553211001.6122569,693210,22821.593484,258752919.33224076,0.0,2020-10-16 00:00:00+00:00
1602892800000,11319.24,11402.42,11255.0,11360.2,22368.915241,1602979199999,253582775.96265447,365973,10318.024614,116996094.14462668,0.0,2020-10-17 00:00:00+00:00
1602979200000,11360.31,11505.0,11346.22,11503.14,23284.041191,1603065599999,266150824.34809864,346946,12396.127099,141743879.128419,0.0,2020-10-18 00:00:00+00:00
1603065600000,11503.14,11823.99,11407.96,11751.47,47414.534692,1603151999999,550728683.7992793,650960,24716.395136,287236347.5490607,0.0,2020-10-19 00:00:00+00:00
1603152000000,11751.46,12038.38,11677.59,11909.99,62134.750663,1603238399999,737425592.0819716,906111,31911.708832,378905888.9600628,0.0,2020-10-20 00:00:00+00:00
1603238400000,11910.0,13217.68,11886.95,12780.96,114584.456767,1603324799999,1437122186.6339953,1453620,59033.671756,740274649.2807958,0.0,2020-10-21 00:00:00+00:00
1603324800000,12780.75,13185.0,12678.08,12968.52,70038.824144,1603411199999,905778888.8702905,1035811,33259.495044,430203750.0189252,0.0,2020-10-22 00:00:00+00:00
1603411200000,12968.84,13027.69,12720.08,12923.07,50386.999841,1603497599999,650680239.1101469,699313,24685.925495,318827712.1982008,0.0,2020-10-23 00:00:00+00:00
1603497600000,12923.06,13166.73,12870.0,13111.73,35952.20907,1603583999999,468299521.7696653,536821,18382.744579,239455378.09125665,0.0,2020-10-24 00:00:00+00:00
1603584000000,13111.73,13350.0,12888.0,13028.83,38481.579504,1603670399999,502672049.2290516,610498,17988.7671,235115943.82713217,0.0,2020-10-25 00:00:00+00:00
1603670400000,13029.64,13238.81,12765.0,13052.19,60951.672986,1603756799999,794395722.4533454,818144,29609.994698,385986654.6578821,0.0,2020-10-26 00:00:00+00:00
1603756800000,13052.15,13789.29,13019.87,13636.17,80796.553996,1603843199999,1085214437.7511137,1003550,39833.626586,534892605.74526495,0.0,2020-10-27 00:00:00+00:00
1603843200000,13636.16,13859.48,12888.0,13266.4,94440.561226,1603929599999,1263487952.9951568,1234511,43387.692275,580505216.8726094,0.0,2020-10-28 00:00:00+00:00
1603929600000,13266.4,13642.91,12920.77,13455.7,74872.602132,1604015999999,997867948.8609744,1008433,37203.245658,495772429.354768,0.0,2020-10-29 00:00:00+00:00
1604016000000,13455.69,13669.98,13115.0,13560.1,70657.778881,1604102399999,946818817.5575091,1060387,34438.58889,461667557.39357114,0.0,2020-10-30 00:00:00+00:00
1604102400000,13560.1,14100.0,13411.5,13791.0,67339.238515,1604188799999,927048458.5423617,1022202,35823.22565,493309455.8389813,0.0,2020-10-31 00:00:00+00:00
1604188800000,13791.0,13895.0,13603.0,13761.5,36285.648526,1604275199999,499124369.0753264,606248,17839.54476,245432626.6153179,0.0,2020-11-01 00:00:00+00:00
1604275200000,13761.49,13830.0,13195.05,13549.37,64566.421908,1604361599999,873629993.8313928,869850,29243.233664,395698601.61694086,0.0,2020-11-02 00:00:00+00:00
1604361600000,13549.63,14066.11,13284.99,14023.53,74115.630787,1604447999999,1009402087.7104616,1052569,38332.71333,522431362.88788253,0.0,2020-11-03 00:00:00+00:00
